Date,Open,High,Low,Close,Volume,Adj Close
12/30/2004,5.01,5.01,4.89,4.92,"1,540,134",4.92
12/29/2004,4.86,4.99,4.68,4.93,"3,370,439",4.93
12/28/2004,4.77,4.84,4.7,4.76,"1,807,984",4.76
12/27/2004,4.84,4.84,4.74,4.76,"855,630",4.76
12/23/2004,4.84,4.89,4.78,4.86,"1,443,411",4.86
12/22/2004,4.84,4.93,4.72,4.81,"1,458,291",4.81
12/21/2004,5.01,5.03,4.92,4.93,"1,495,493",4.93
12/20/2004,4.84,5.07,4.8,5,"5,409,071",5
12/15/2004,4.76,4.85,4.75,4.78,"1,674,059",4.78
12/14/2004,4.82,4.83,4.78,4.79,"952,354",4.79
12/13/2004,4.91,4.93,4.81,4.83,"1,882,386",4.83
12/9/2004,4.9,4.91,4.81,4.84,"2,767,778",4.84
12/8/2004,4.84,4.86,4.8,4.84,"982,115",4.84
12/7/2004,4.84,4.87,4.77,4.8,"1,927,028",4.8
12/6/2004,4.77,4.83,4.72,4.82,"2,202,318",4.82
12/2/2004,5.01,5.03,4.94,4.96,"1,674,059",4.96
12/1/2004,5.07,5.09,4.98,5,"4,531,120",5
11/30/2004,4.93,5.02,4.93,4.99,"1,815,424",4.99
11/29/2004,4.91,4.98,4.86,4.95,"2,447,846",4.95
11/25/2004,4.92,5.16,4.92,5.09,"2,916,583",5.09
11/24/2004,5.23,5.23,4.99,5.05,"4,605,522",5.05
11/23/2004,5.04,5.21,5.04,5.18,"4,270,711",5.18
11/22/2004,4.94,5.04,4.87,5.01,"3,496,923",5.01
11/18/2004,4.72,4.9,4.6,4.88,"3,638,288",4.88
11/17/2004,4.77,4.79,4.64,4.67,"1,450,851",4.67
11/10/2004,4.68,4.77,4.66,4.74,"4,114,465",4.74
11/9/2004,4.73,4.74,4.62,4.67,"1,927,028",4.67
11/8/2004,4.62,4.7,4.59,4.7,"3,638,288",4.7
11/4/2004,4.6,4.6,4.52,4.53,"1,525,254",4.53
11/3/2004,4.57,4.59,4.5,4.56,"2,261,840",4.56
11/2/2004,4.5,4.6,4.47,4.5,"3,965,660",4.5
10/28/2004,4.47,4.47,4.28,4.37,"3,065,388",4.37
10/27/2004,4.64,4.64,4.45,4.47,"3,712,691",4.47
10/26/2004,4.37,4.54,4.24,4.45,"2,738,017",4.45
10/25/2004,4.64,4.77,4.35,4.37,"7,432,822",4.37
10/21/2004,4.03,4.23,4.03,4.22,"5,394,190",4.22
10/20/2004,4,4.03,3.92,3.97,"3,556,445",3.97
10/19/2004,4.03,4.06,3.97,4.01,"4,107,025",4.01
10/18/2004,3.7,4,3.7,3.96,"4,694,806",3.96
10/14/2004,3.39,3.53,3.39,3.5,"3,176,992",3.5
10/13/2004,3.36,3.41,3.33,3.34,"1,763,342",3.34
10/12/2004,3.49,3.57,3.32,3.36,"5,141,221",3.36
10/11/2004,3.35,3.49,3.35,3.45,"4,486,478",3.45
10/7/2004,3.16,3.23,3.15,3.18,"1,941,908",3.18
10/6/2004,3.13,3.19,3.13,3.15,"796,108",3.15
10/5/2004,3.23,3.26,3.13,3.15,"1,659,179",3.15
10/4/2004,3.01,3.25,3.01,3.23,"6,272,141",3.23
9/30/2004,3.03,3.03,2.95,2.96,"2,336,242",2.96
9/29/2004,3,3.04,2.99,3,"2,671,054",3
9/28/2004,2.98,3,2.96,2.97,"1,235,084",2.97
9/27/2004,3,3,2.94,2.96,"1,934,468",2.96
9/23/2004,2.97,3.06,2.95,3.04,"3,801,974",3.04
9/22/2004,3,3,2.95,2.96,"2,871,941",2.96
9/21/2004,3.04,3.04,2.99,3,"2,693,375",3
9/20/2004,3.01,3.03,2.99,3.02,"1,807,984",3.02
9/9/2004,2.82,2.94,2.82,2.91,"1,629,417",2.91
9/8/2004,2.9,2.91,2.79,2.81,"2,418,085",2.81
9/7/2004,2.98,2.98,2.88,2.89,"1,473,172",2.89
9/2/2004,3.07,3.16,3.06,3.07,"3,653,169",3.07
9/1/2004,3.03,3.12,2.95,3.03,"7,217,054",3.03
8/31/2004,2.9,2.93,2.84,2.9,"4,062,383",2.9
8/26/2004,2.8,2.86,2.79,2.8,"2,336,242",2.8
